id,Topic,Subtopic,Purpose,Persuasion_Techniques,Call_to_Action,Keywords,Emojis,Hashtags,Mentioned_Entities,Linked_URLs,Bias,Subjectivity,Sentiment,Emotional_Intensity,Informality,Personal_Pronouns,Persuasiveness,Factual_vs_Opinion,Political_Orientation,Emotion_Type,Time_Reference,Directness,Clarity,Tone,Device_Usage,Style,Technique,Authenticity,Theme,tweet_text
1465864836739444743,"TODAY is The First Day I Say & I Don't Mean To Repeat MYSELF ""If American People Aren't Causing A Problem Don't Fuck With Em #LEAVEPEOPLEALONE #AmericaWeWillStand #BlackLivesMatter 2028",Social Issues,Respect for Individual Rights,Express Feelings,Appeal to Emotion,None,"American People, Problem, Don't Fuck With Em",None,"#LEAVEPEOPLEALONE, #AmericaWeWillStand, #BlackLivesMatter",None,None,Moderate,Highly Subjective,Mixed,High,Casual,"I, Myself",Medium,Opinionated,None,Anger,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,None,Unverified Claims,Social Issues
1465848152624410624,RT @larryelder: Larry Elder Highlights: EPIC! Larry Elder EDUCATES Congress on â€˜Systemic Racismâ€™ Live on TVnn#BlackLivesMatter n#WeveGotACountryToSave nnhttps://t.co/woC4zhXmFt https://t.co/3jiKzlhLKU,Systemic Racism,Larry Elder's Education on Systemic Racism,To Inform,Appeal to Authority,None,"Larry Elder, Systemic Racism, Congress, Live on TV",,"#BlackLivesMatter, #WeveGotACountryToSave","Larry Elder, Congress","https://t.co/woC4zhXmFt, https://t.co/3jiKzlhLKU",Moderate,Somewhat Subjective,Neutral,Moderate,Semi-formal,None,Medium,Mixed,Right-leaning,None,Present,Direct,Clear and Unambiguous,Assertive,None,Deductive,Storytelling,Unverified Claims,Politics
1465861443992104962,RT @JamesRusso2d3d: Devolved.nn#ResistanceUnited #Resistn#HateSpeech #Racismn#BlackLivesMattern#VoteBlue2022 #Equalityn#KindnessMatters https://t.co/CJfDKLA9N4,Social Issues,"Hate Speech, Racism, Equality, Kindness, Voting",Persuade,Appeal to emotion,Soft,"Devolved, ResistanceUnited, Resist, HateSpeech, Racism, BlackLivesMatter, VoteBlue2022, Equality, KindnessMatters",,"#ResistanceUnited, #Resist, #HateSpeech, #Racism, #BlackLivesMatter, #VoteBlue2022, #Equality, #KindnessMatters",@JamesRusso2d3d,https://t.co/CJfDKLA9N4,Strong,Highly Subjective,Mixed,Moderate,Casual,,Medium,Opinionated,Left-leaning,Anger,Present,Direct,Clear and Unambiguous,Assertive,,,,Unverified Claims,Politics
1465847093361324037,RT @LuisTfornica: #BlackLivesMatter #NFT https://t.co/A1KaGMDIMu,Social Issues,"Black Lives Matter, NFT",To Inform,None,None,"Black Lives Matter, NFT",None,"#BlackLivesMatter, #NFT",@LuisTfornica,https://t.co/A1KaGMDIMu,Neutral,Objective,Neutral,Calm,Semi-formal,None,Low,Factual,None,None,None,Direct,Clear and Unambiguous,Neutral,None,None,None,Unverified Claims,"Social Issues, Technology"
1465856031318228993,RT @zimraniaxy: This should become a trend IMOâ£ï¸ Let's all unite to help Marcus Flowers kick her to the curb. #GOPTrolls got to go ðŸ’¯nn#DemVoice1 #TransRights #BlackLivesMatter,Politics,"Support for Marcus Flowers, Opposition against GOP Trolls",To Persuade,"Appeal to Emotion, Appeal to Unity",Soft,"Marcus Flowers, trend, unite, kick her to the curb, GOPTrolls, go","â£ï¸, ðŸ’¯","#GOPTrolls, #DemVoice1, #TransRights, #BlackLivesMatter","Marcus Flowers, GOP Trolls",None,Strong,Highly Subjective,Mixed,Moderate,Casual,Second person,High,Opinionated,Left-leaning,"Anticipation, Anger",Present,Direct,Clear and Unambiguous,Assertive,None,Inductive,None,Unverified Claims,"Politics, Social Issues"
1465837628708691969,Cause kids can be a handful and even though you love and cherish your babies youâ€™re still a person who can only take so much who needs time to themselves,Parenting,Self-Care,Express feelings,Appeal to emotion,None,"kids, handful, love, cherish, babies, person, time, themselves",,,,,Neutral,Highly Subjective,Mixed,Moderate,Casual,"you, your, themselves",Low,Opinionated,None,"Love, Stress",Present,Direct,Clear and Unambiguous,Assertive,,Deductive,Storytelling,Unverified Claims,Social Issues
1465833254964154370,"Has the FBI Been Assassinating Black Leaders? | by William Spivey | Black History Month 365 | Nov, 2021 | Medium - via @pensignal  https://t.co/yND3mG8PrD #History #BlackTwitter #Blacklivesmatter",Assassination of Black Leaders,FBI's involvement,Inform,None,None,"FBI, Assassinating, Black Leaders, William Spivey, Black History Month 365, Medium",None,"History, BlackTwitter, Blacklivesmatter","FBI, William Spivey, @pensignal",https://t.co/yND3mG8PrD,Moderate,Somewhat Subjective,Neutral,Moderate,Formal,None,Medium,Mixed,None,None,Past,Direct,Clear and Unambiguous,Assertive,None,None,None,Unverified Claims,Politics
1465854622833070084,RT @Meriiki: Another death in custody at damn Phyllis frost womens prison ðŸ’”â¤ï¸nn#BlackLivesMatter,Death in custody,Phyllis frost womens prison,To inform,Appeal to emotion,None,"Death in custody, Phyllis frost womens prison","ðŸ’”, â¤ï¸",BlackLivesMatter,"Meriiki, Phyllis frost womens prison",,Strong,Highly Subjective,Negative,High,Casual,Another,Medium,Mixed,Left-leaning,Sadness,Present,Direct,Clear and Unambiguous,Assertive,,,,Unverified Claims,Social Issues
1465839232522588163,"Say, â€œShut Up And Dribble,â€ Again. I Dare You! | by William Spivey | Aug, 2020 | Medium - via @pensignal  https://t.co/Epz0UhsWEE #BlackTwitter #BlackLivesMatter #NBA",Social Issues,Racism in Sports,"To provoke, to inform","Appeal to emotion, Direct challenge",None,"Shut Up And Dribble, Dare",None,"BlackTwitter, BlackLivesMatter, NBA","William Spivey, @pensignal",https://t.co/Epz0UhsWEE,Strong,Highly Subjective,Aggressive,High,Casual,Second person,High,Opinionated,None,Anger,Present,Direct,Clear and Unambiguous,Aggressive,None,Inductive,None,Unverified Claims,"Sports, Social Issues"
1465856622320885767,#BlueLivesMatter #WhiteLivesMatter #Trump2024,Political and Social Issues,"Blue Lives Matter, White Lives Matter, Trump 2024",Express Support,None,None,"Blue Lives Matter, White Lives Matter, Trump 2024",,"#BlueLivesMatter, #WhiteLivesMatter, #Trump2024",,,Strong,Highly Subjective,Neutral,Calm,Casual,,Low,Opinionated,Right-leaning,None,Future,Direct,Clear and Unambiguous,Assertive,None,None,None,Unverified Claims,Politics
